,title,discountedPrice,imgUrl,actualPrice,rating
61,HP 15s-gr0006au Laptop 21W92PA (AMD Ryzen 3-3250U/4GB Ram/ 1TB HDD/ 15.6 inch HD/ Win10 + MS Office 2019 / Dark Ash Black),"29,990",https://m.media-amazon.com/images/I/81bmFpJJLtL._AC_UY218_.jpg,"₹29,990",3.9 out of 5 stars
62,"Lenovo Ideapad Slim 3 10th Gen Intel Core i3 14 inch FHD Thin and Light Laptop (4GB/256GB/Windows 10/MS Office/Grey/1.6Kg), 81WD0044IN","41,999",https://m.media-amazon.com/images/I/61s7sJEpsVL._AC_UY218_.jpg,"₹41,999",3.9 out of 5 stars
65,"Lenovo ThinkPad E14 Intel Core i3 10th Gen 14-inch Full HD Thin and Light Laptop (4GB RAM/ 256GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.69 kg), 20RAS0WH00","40,990",https://m.media-amazon.com/images/I/71k3N4gxNeL._AC_UY218_.jpg,"₹40,990",3.6 out of 5 stars
66,"ASUS VivoBook 14 Intel Core i5-1035G1 10th Gen 14-inch FHD Compact and Light Laptop (8GB RAM/1TB HDD/Windows 10/Integrated Graphics/Transparent Silver/1.60 kg), X409JA-EK581T","43,990",https://m.media-amazon.com/images/I/81t12ZI8TRL._AC_UY218_.jpg,"₹43,990",3.8 out of 5 stars
67,"ASUS TUF Gaming FX505DT 15.6-inch FHD Laptop, Ryzen 5 3550H, GTX 1650 4GB GDDR5 Graphics (8GB RAM/1TB HDD/Windows 10/Stealth Black/2.20 Kg), FX505DT-BQ151T","61,990",https://m.media-amazon.com/images/I/81+YepXiJpL._AC_UY218_.jpg,"₹61,990",4.0 out of 5 stars
68,"Lenovo Yoga Slim 7 AMD Ryzen 7 4800U 14-inch Full HD IPS Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Slate Grey/1.33Kg), 82A2008VIN","72,990",https://m.media-amazon.com/images/I/61tcZHczA8L._AC_UY218_.jpg,"₹72,990",3.9 out of 5 stars
69,"MI Notebook 14 (IC) Intel Core i5-10210U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Intel UHD Graphics/Silver/1.5Kg), XMA1901-FK","46,999",https://m.media-amazon.com/images/I/513XIkrVeuL._AC_UY218_.jpg,"₹46,999",4.1 out of 5 stars
70,"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS","34,990",https://m.media-amazon.com/images/I/71WuDXpTAlL._AC_UY218_.jpg,"₹34,990",3.7 out of 5 stars
71,"Lenovo V145-AMD-A6 15.6 inch HD Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Black/ 2.1 kg), 81MTA000IH","24,435",https://m.media-amazon.com/images/I/71-La7HQx8L._AC_UY218_.jpg,"₹24,435",3.1 out of 5 stars
72,"Lenovo V145-AMD-A6 15.6 inch HD Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Black/ 2.1 kg), 81MT006YIH","29,990",https://m.media-amazon.com/images/I/314rRH-BnJL._AC_UY218_.jpg,"₹29,990",3.3 out of 5 stars
78,"HP 15 db1069AU 15.6-inch Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black","30,674",https://m.media-amazon.com/images/I/71JZWpHPV+L._AC_UY218_.jpg,"₹30,674",3.6 out of 5 stars
96,"LG Gram 10th Gen Intel Core i5-1035G7 14-inch IPS Full HD (1920X1080) Thin and Light Laptop (8GB/256GB SSD/Windows 10 64-bit/Dark Silver/999gms), 14Z90N","62,990",https://m.media-amazon.com/images/I/71Dv5BtTh8L._AC_UY218_.jpg,"₹62,990",3.9 out of 5 stars
97,Dell INSPIRON 3505 15inch FHD AG Laptop (Ryzen-3 3250U / 4 GB / 1TB+256 SSD / Vega Graphics / 1 Yr NBD / Win 10 + MS Office H&S 2019) D560338WIN9S,"37,999",https://m.media-amazon.com/images/I/510MXxwvsiL._AC_UY218_.jpg,"₹37,999",4.1 out of 5 stars
98,"Mi Notebook Horizon Edition 14 Intel Core i5-10210U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg), XMA1904-AR+Webcam","53,999",https://m.media-amazon.com/images/I/712rw0zcH8L._AC_UY218_.jpg,53999.00,4.3 out of 5 stars
99,"HP 14 10th Gen Core i3 14-inch Laptop with 4G (LTE), 8GB RAM, 1TB HDD, 14-inch FHD Screen, Windows 10, MS Office, (ER0004TU)","41,403",https://m.media-amazon.com/images/I/71lMJxLkIqL._AC_UY218_.jpg,"₹41,403",3.8 out of 5 stars
100,Lenovo 82C7A006IH V15 ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ Windows-10/Integrated AMD Radeon Graphics/ Iron Grey),"27,389",https://m.media-amazon.com/images/I/51RSK3t7tsL._AC_UY218_.jpg,"₹27,389",3.3 out of 5 stars
101,"ASUS TUF Gaming FX505DV 15.6"" FHD 120Hz Laptop RTX 2060 6GB Graphics (Ryzen 7-3750H/16GB RAM/512GB NVMe SSD/Windows 10/Gun Metal/2.20 Kg), FX505DV-AL026T","84,990",https://m.media-amazon.com/images/I/81Mag-I6bpL._AC_UY218_.jpg,"₹84,990",3.8 out of 5 stars
102,"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch FHD Screen, Windows 10, MS Office, Built-in Alexa","55,990",https://m.media-amazon.com/images/I/71v8LZ7H+yL._AC_UY218_.jpg,"₹55,990",4.1 out of 5 stars
103,Dell VOSTRO 3405 14inch HD Anti Glare Laptop (Ryzen-3 3250U / 4 GB / 1TB / Vega Graphics / 1 Yr NBD / Win 10 + MSO / Black/ 1.83Kg) D552134WIN9BE,"30,990",https://m.media-amazon.com/images/I/51IsQHLroNL._AC_UY218_.jpg,"₹30,990",3.8 out of 5 stars
105,"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch FHD Thin and Light Laptop (8GB RAM/1TB HDD + 128GB NVMe SSD/Integrated Graphics/Windows 10/Slate Grey/1.6 kg), X415JA-EK331T","38,990",https://m.media-amazon.com/images/I/716bvqzz7PL._AC_UY218_.jpg,"₹38,990",4.2 out of 5 stars
106,"HP 245 G7 AMD Ryzen 5 - 3500U 14 inch Laptop (8GB RAM/1TB HDD/Windows 10 /Radeon Vega 8 Graphics/NO ODD) 2D5X7PA (1.52kg,Dark ash Silver)","39,999",https://m.media-amazon.com/images/I/71IOoLyNAaL._AC_UY218_.jpg,"₹39,999",3.8 out of 5 stars
